taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6005932,-117.1059322,,Salt Works,2013-01-19,2013-01-19 19:22:27 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/239936/medium.jpg,,"San Diego County, California, US",animal
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5710707,-117.1290303,,Tijuana Slough NWR,2009-12-05,2009-12-05 18:28:39 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/379357/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.567205,-116.914081,469.0,Otay Mesa--Alta Rd Fields,2012-07-04,2012-07-04 16:23:52 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://static.inaturalist.org/photos/553972/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.043737,-116.940207,1742.0,Ramona Grasslands,2010-01-31,2010-01-31 17:31:13 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://static.inaturalist.org/photos/560865/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.570743,-117.127247,547.0,Tijuana River National Estuarine Research Reserve,2011-12-04,2011-12-04 20:42:56 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://static.inaturalist.org/photos/590217/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.564161,-116.975384,1641.0,Otay Mesa,2014-06-01,2014-06-01 19:11:26 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/922602/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7842367793,-116.8867241379,,United States,2014-12-10,2014-12-10 21:18:50 UTC,Pacific Time (US & Canada),research,6,0,False,True,https://static.inaturalist.org/photos/1419781/medium.JPG,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.560672,-116.970886,1289.0,Otay Mesa,2015-05-03,2015-05-03 18:58:43 UTC,Pacific Time (US & Canada),research,8,0,False,False,https://static.inaturalist.org/photos/1816426/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.57742,-116.9623116667,,"San Diego County, US-CA, US",2015-05-20,2015-05-20 19:25:48 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/1880619/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.4501270066,-116.9462915266,3.0,,2015-09-21,,Pacific Time (US & Canada),casual,0,0,False,True,,,"Otay Mountain, California

Accidentally flushed from an erosion rill within a bare area, next to a trail surrounded by chaparral at 14:34. Did not see the owl until it flushed. Owl flew northwest, turned east, and went down in chaparral cover out of site (approximately 10 meters away). Gave off alarm call when two CORA flew overhead, then flew up to approximately 100 feet, circled a few times, then flew south out of view. Probably a resting migrant - bare area in trail virtually surrounded by thick chaparral (dominated by Arctostaphylos otayensis, Pickeringia montana, and Adenostoma fasciculatum). No other BUOW observed.",
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,32.78588,-116.8704083333,,"San Diego National Wildlife Refuge, El Cajon, CA, US",2016-02-02,2016-02-02 18:43:56 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/2960900/medium.jpg,,Sorry for the terrible photo quality. ,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.041374,-116.936156,3.0,Ramona Grasslands,2016-02-14,2016-02-14 19:19:49 UTC,Pacific Time (US & Canada),research,8,0,False,False,https://static.inaturalist.org/photos/3023092/medium.jpg,,"San Diego County, California, US",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.2580870058,-116.291247122,516.0,"Borrego Springs, CA 92004",2016-02-21,2016-02-21 20:07:14 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/3286342/medium.jpeg,,Found deceasd.,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.571354,-116.962494,,"Brown Field, Otay Mesa, San Diego, California",2016-05-10,,Pacific Time (US & Canada),research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/3637836/medium.JPG,,"You can see in the last picture that at least one of these critters is tagged.  It's kind of blurry so can't make out the numbers, but both ankles have a tag.",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6747816988,-117.2393013072,5.0,"Cabrillo National Monument, San Diego, CA, US",2016-05-21,2016-05-21 16:42:21 UTC,Pacific Time (US & Canada),casual,1,0,True,False,https://static.inaturalist.org/photos/3759188/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6730113472,-117.2396957735,1676.0,"Cabrillo National Monument, San Diego, CA, US",2016-05-21,2016-05-21 16:52:14 UTC,Pacific Time (US & Canada),casual,3,0,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/3760625/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.674725,-117.23957,,"Cabrillo National Monument, San Diego, CA, US",2016-05-21,2016-05-21 17:31:51 UTC,Pacific Time (US & Canada),casual,1,0,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/3760843/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7151256893,-116.9311746785,1.0,United States,2015-06-26,,Pacific Time (US & Canada),research,6,0,False,True,https://static.inaturalist.org/photos/4095728/medium.jpg,,"Observed adult pair at burrow entrance.

",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.4742387511,-116.9043820488,30.0,United States,2012-02-26,,Pacific Time (US & Canada),research,4,0,False,True,https://static.inaturalist.org/photos/4889162/medium.jpg,,Found dead on paved road.,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7602450297,-117.2248721123,8.0,"Mission Bay, San Diego, CA, USA",2016-11-13,2016-11-13 19:30:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5509666/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.760482,-117.222657,17.0,Old Seaworld Drive,2016-11-12,2016-11-12 20:00:39 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5615583/medium.jpg,,"This guy has been at the same burrow along the San Diego River Estuary for several weeks now. Don't think he was too happy about this picture being taken! He was looking around, very attentive to everything happening around him. Just out of frame was a small pile of feathers. He might have had a good meal earlier in the day...",
