taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.8307037354,-117.2811965942,,"la jolla, ca",2009-01-03,,Pacific Time (US & Canada),research,6,0,False,False,https://static.inaturalist.org/photos/1194/medium.jpg,,Brown pelicans are brilliant gliders. They follow the updraft of coastal waves.,Pelican lajolla flying
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.8322181702,-117.2819671631,,"la jolla, ca",2009-01-04,,Pacific Time (US & Canada),research,5,0,False,False,https://static.inaturalist.org/photos/1268/medium.jpg,,These gliders a sweet. I want to catch one in a dive. Maybe next time,
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.6665466989,-117.2241210938,,"San Diego, California",2011-01-16,,Arizona,research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/21329/medium.jpg,,,
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.8406775,-117.2587935,,"La Jolla, Ca",2011-11-11,,Eastern Time (US & Canada),research,3,0,False,False,https://static.inaturalist.org/photos/66293/medium.jpg,,,
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,33.2079801389,-117.394396809,,"oceanside harbor, ca",2012-02-25,,Mexico City,research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/84378/medium.jpg,,,
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.6739234924,-117.2449951172,10.0,"32.67392349243164, -117.2449951171875",2012-03-04,2012-03-04 20:16:08 UTC,Pacific Time (US & Canada),casual,0,0,False,False,,,,
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.912538944,-117.2582252976,100.0,"Torrey Pines Reserve, San Diego",2012-05-19,2012-05-19 19:48:47 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/121401/medium.JPG,,,
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.7559954982,-117.2411558032,44.0,"Ocean Beach, San Diego's ""Mile of Birds""",2012-05-18,2012-05-18 17:57:00 UTC,Eastern Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/121693/medium.JPG,,,
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.8901939917,-117.2515841819,,Torrey Pines Glider Port,2012-10-19,,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/193846/medium.jpg,,,animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.7934076,-117.228756,,Mission Bay--Kendall-Frost Marsh,2012-12-02,2012-12-02 18:01:56 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/224471/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.705945,-117.1676963,,Embarcadero Marina Park,2012-12-25,2012-12-25 15:50:56 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/224917/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.7791265,-117.2210312,,Mission Bay--Fiesta Island,2012-12-25,2012-12-25 21:17:58 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/224940/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.7218825,-117.2232628,,San Diego Bay--fishing boat landings,2013-01-01,2013-01-01 15:54:10 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/228448/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.7218825,-117.2232628,,San Diego Bay--fishing boat landings,2013-01-01,2013-01-01 21:50:11 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/228452/medium.jpg,,"Using the stern railing of a ship for roosting.

San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,33.155988,-117.351634,,Carlsbad--Ocean St Overlook,2012-12-30,2012-12-30 15:57:23 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/229152/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.850955,-117.2734281,,La Jolla--Cove,2012-12-31,2012-12-31 15:29:26 UTC,Pacific Time (US & Canada),research,3,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/229169/medium.jpg,,"San Diego County, California, US",animal
4328,Pelecanus occidentalis,Brown Pelican,Aves,brown pelican,32.7942013038,-117.2568225861,205.0,"Pacific Beach, San Diego Co., CA",1990-02-25,,Pacific Time (US & Canada),casual,0,0,False,False,,,,
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.6564876,-117.0877733,,Sweetwater River,2013-01-13,2013-01-13 18:12:13 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/236465/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.850955,-117.2734281,,La Jolla--Cove,2013-01-23,2013-01-24 00:32:20 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/240334/medium.jpg,,"San Diego County, California, US",animal
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.6492626215,-117.1121589839,,Pepper Park,2012-12-12,,Pacific Time (US & Canada),research,2,0,False,False,https://static.inaturalist.org/photos/243083/medium.PNG,,,
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.69675,-117.2312879,,San Diego Bay--Shelter Island to harbor mouth,2013-02-09,2013-02-09 15:32:15 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/250981/medium.jpg,,"San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.694291,-117.23593,,San Diego Bay--Bait Barges,2013-02-09,2013-02-09 20:23:48 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/250998/medium.jpg,,"On one of the bait barges in San Diego Bay.

San Diego County, California, US",animal
123829,Pelecanus occidentalis californicus,California Brown Pelican,Aves,California Brown Pelican,32.7541845,-117.2403002,,Robb Field,2013-02-09,2013-02-09 23:58:04 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/251650/medium.jpg,,"San Diego County, California, US",animal
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.6745224,-117.2395043,1826.0,"Cabrillo National Monument, San Diego, California, USA",2013-02-17,,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/255739/medium.JPG,,,"immature, adult"
4328,Pelecanus occidentalis,Brown Pelican,Aves,Brown Pelican,32.6005932,-117.1059322,,Salt Works,2013-02-16,2013-02-16 19:58:03 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/256344/medium.jpg,,"Flying through a construction zone (recently imploded power plant) along San Diego Bay.

San Diego County, California, US",animal
